Explicit Track,Year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode,log_avg_monthly_streams,Solo/Group,Recent Momentum,TikTok Posts,TikTok Views,Spotify Followers,Spotify Monthly Listeners,Spotify Conversion Rate,Apple Music Playlist Count,Instagram Followers,13_17,18_24,25_34,35_44,45_64,65_,F,M,genre_Deathcore,genre_Goregrind,genre_Death Metal,genre_Progressive Rock,genre_Progressive Metal,genre_Brutal Death Metal,genre_Rock,genre_Metal,genre_Metalcore,genre_US Metal,genre_Hardcore,genre_Beatdown,genre_Djent,genre_Melodic Metalcore,genre_Symphonic Deathcore,genre_Dance,genre_Melodic Hardcore,genre_Blackened Deathcore,genre_Alternative Rock,genre_Alternative,genre_other,country_group
1,2014,0.00318,0.536,0.849,0.00197,0.104,-4.702,0.0616,127.002,0.305,0,1,14.247488277161613,Group,Steady,179781.0,525298505.0,2522283.0,3274744.0,0.770223,54.0,903260.0,0.034,0.32799999999999996,0.4,0.171,0.067,0.0,0.235,0.765,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Other
1,2023,0.000242,0.565,0.931,0.00105,0.144,-4.88,0.181,100.045,0.43,10,0,14.307288506225499,Group,Steady,119196.0,935386157.0,663864.0,2892111.0,0.229543,33.0,278343.0,0.028999999999999998,0.375,0.47700000000000004,0.10300000000000001,0.016,,0.40299999999999997,0.597,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,US
1,2021,2.68e-05,0.388,0.83,0.0212,0.0946,-3.035,0.0922,129.98,0.144,3,0,14.145951999575216,Group,Steady,63478.0,221003527.0,962314.0,1089058.0,0.883621,24.0,612682.0,0.027000000000000003,0.336,0.47700000000000004,0.131,0.028999999999999998,0.0,0.22699999999999998,0.773,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,US
1,2025,0.000653,0.296,0.851,0.508,0.262,-3.653,0.0998,130.083,0.06,3,0,14.004680450969907,Group,Steady,63478.0,221003527.0,962314.0,1089058.0,0.883621,24.0,612682.0,0.027000000000000003,0.336,0.47700000000000004,0.131,0.028999999999999998,0.0,0.22699999999999998,0.773,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,US
0,2006,7.84e-05,0.361,0.995,0.00567,0.241,-2.584,0.132,185.965,0.264,0,0,13.381948168902323,Group,Slowing,110999.0,196940444.0,2233465.0,3448490.0,0.647665,126.0,478301.0,0.017,0.21,0.495,0.22399999999999998,0.055999999999999994,0.0,0.21,0.79,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,US
1,2023,6.94e-05,0.398,0.95,0.00348,0.0471,-3.1,0.144,163.947,0.178,7,1,14.511456703971911,Group,Steady,34561.0,135618705.0,1312880.0,2757567.0,0.476101,127.0,748469.0,0.024,0.321,0.494,0.136,0.025,0.0,0.297,0.703,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Other
1,2018,0.000683,0.499,0.97,0.136,0.0871,-2.838,0.116,106.558,0.0506,0,1,14.295098059613732,Group,Slowing,1255069.0,3547520845.0,14910723.0,15824330.0,0.942266,293.0,8969414.0,0.036000000000000004,0.342,0.43799999999999994,0.14400000000000002,0.040999999999999995,0.0,0.314,0.6859999999999999,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,US
1,2013,8.45e-05,0.52,0.988,0.0,0.209,-3.637,0.154,75.008,0.17,4,1,14.173858040879837,Group,Steady,1099437.0,995846669.0,7075369.0,6367686.0,1.111137,119.0,1215492.0,0.028999999999999998,0.27699999999999997,0.4,0.20199999999999999,0.092,0.0,0.375,0.625,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,US
0,2025,0.000104,0.468,0.968,0.15,0.312,-3.397,0.163,165.021,0.27,0,0,13.409781558751256,Group,Slowing,63457.0,164702230.0,1101026.0,1334935.0,0.824779,27.0,1047848.0,0.034,0.336,0.46399999999999997,0.139,0.026000000000000002,0.0,0.19,0.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,US
1,2024,3.46e-05,0.244,0.985,0.0139,0.51,-2.781,0.38,169.561,0.124,1,0,14.365139188872995,Group,Growth,112614.0,214146352.0,671210.0,1726778.0,0.388707,60.0,527026.0,0.03,0.315,0.483,0.14,0.032,0.0,0.26899999999999996,0.731,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,US
0,2009,0.000132,0.301,0.916,1.84e-05,0.293,-6.218,0.0919,150.091,0.451,10,0,13.085074016712403,Group,Steady,113469.0,249258745.0,2579149.0,5453935.0,0.472897,161.0,1128427.0,0.036000000000000004,0.387,0.469,0.091,0.017,0.0,0.47700000000000004,0.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,US
0,2025,4.07e-06,0.14,0.96,0.0404,0.214,-3.094,0.156,82.515,0.15,9,0,12.472428434896218,Group,Steady,14274.0,9935865.0,283642.0,529030.0,0.536155,16.0,108810.0,0.02,0.24,0.483,0.198,0.059000000000000004,,0.158,0.8420000000000001,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
1,2025,6.28e-06,0.518,0.99,0.00116,0.206,-2.574,0.217,110.014,0.0388,5,1,12.622510866077112,Group,Steady,14274.0,9935865.0,283642.0,529030.0,0.536155,16.0,108810.0,0.02,0.24,0.483,0.198,0.059000000000000004,,0.158,0.8420000000000001,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
0,2025,2.84e-06,0.377,0.989,0.0233,0.347,-2.746,0.116,178.987,0.15,8,1,12.400667385436495,Group,Steady,14274.0,9935865.0,283642.0,529030.0,0.536155,16.0,108810.0,0.02,0.24,0.483,0.198,0.059000000000000004,,0.158,0.8420000000000001,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
1,2007,1.41e-05,0.468,0.996,0.0,0.26,-3.027,0.179,75.978,0.094,11,0,13.65783117160748,Group,Steady,1099437.0,995846669.0,7075369.0,6367686.0,1.111137,119.0,1215492.0,0.028999999999999998,0.27699999999999997,0.4,0.20199999999999999,0.092,0.0,0.375,0.625,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,US
0,2008,0.00191,0.558,0.943,4.38e-05,0.248,-4.81,0.0534,111.994,0.56,1,0,13.346556463170135,Group,Steady,13693.0,9295078.0,1477678.0,1444727.0,1.022808,34.0,188376.0,0.018000000000000002,0.23199999999999998,0.484,0.20600000000000002,0.059000000000000004,0.0,0.303,0.6970000000000001,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,US
1,2025,7.93e-05,0.312,0.945,0.166,0.15,-3.33,0.203,199.907,0.198,1,1,13.82321679606181,Group,Slowing,63457.0,164702230.0,1101026.0,1334935.0,0.824779,27.0,1047848.0,0.034,0.336,0.46399999999999997,0.139,0.026000000000000002,0.0,0.19,0.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,US
0,2008,2.98e-05,0.306,0.995,0.00859,0.254,-3.203,0.1,127.908,0.135,2,1,13.062067701494403,Group,Steady,121863.0,198542020.0,3623940.0,5050611.0,0.717525,124.0,1031675.0,0.028999999999999998,0.361,0.46299999999999997,0.11800000000000001,0.028999999999999998,0.0,0.366,0.634,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Other
0,2019,0.000206,0.311,0.942,0.238,0.158,-5.175,0.0483,125.006,0.651,8,1,13.883382100740109,Group,Slowing,27250.0,150262952.0,486538.0,721662.0,0.674191,5.0,598407.0,0.027000000000000003,0.26899999999999996,0.469,0.18,0.055,0.0,0.308,0.6920000000000001,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Other
0,2016,3.19e-06,0.294,0.959,0.0576,0.299,-4.348,0.0717,136.952,0.242,2,1,13.577095366926498,Group,Steady,26642.0,59034849.0,1872100.0,2361131.0,0.792883,135.0,1244862.0,0.025,0.266,0.449,0.196,0.063,,0.22,0.78,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Other
1,2019,1.59e-05,0.283,0.935,0.0057,0.073,-4.56,0.142,111.884,0.419,6,1,13.844616370412316,Group,Steady,782076.0,1124138659.0,2254839.0,7086045.0,0.318208,80.0,1322528.0,0.042,0.424,0.43200000000000005,0.086,0.016,0.0,0.461,0.539,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,US
1,2024,0.000277,0.418,0.971,0.00139,0.305,-3.189,0.364,183.092,0.193,1,0,13.648432937685305,Group,Steady,24964.0,91396873.0,434562.0,968292.0,0.448792,30.0,318481.0,0.025,0.29,0.494,0.16,0.031,0.0,0.20800000000000002,0.792,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,US
0,2006,1.56e-05,0.447,0.993,0.0266,0.4745,-3.022,0.111,140.01749999999998,0.108,7,1,13.225091362941983,Group,Slowing,110999.0,196940444.0,2233465.0,3448490.0,0.647665,126.0,478301.0,0.017,0.21,0.495,0.22399999999999998,0.055999999999999994,0.0,0.21,0.79,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,US
1,2022,6.13e-05,0.304,0.987,0.000162,0.371,-2.578,0.193,149.992,0.153,7,1,14.070866313093632,Group,Growth,536089.0,696374203.0,2153061.0,5694611.0,0.378087,100.0,1235735.0,0.045,0.456,0.39899999999999997,0.077,0.023,0.0,0.542,0.45799999999999996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,US
1,2023,0.00013,0.536,0.97,0.0296,0.308,-2.317,0.157,99.915,0.707,2,1,14.439647326862811,Group,Steady,1615.0,4292900.0,218500.0,661556.0,0.330282,5.0,112395.0,0.032,0.158,0.541,0.203,0.067,,0.345,0.655,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,US
0,2023,0.000313,0.342,0.938,0.0181,0.348,-5.194,0.0808,151.965,0.154,11,0,14.404631130237071,Group,Slowing,557449.0,849035243.0,3150930.0,5474635.0,0.575551,72.0,1540592.0,0.031,0.31,0.47700000000000004,0.153,0.028999999999999998,0.0,0.33399999999999996,0.6659999999999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Other
0,2022,0.000467,0.516,0.991,4.66e-05,0.327,-2.587,0.126,95.017,0.402,11,0,14.326261689745566,Group,Slowing,1255069.0,3547520845.0,14910723.0,15824330.0,0.942266,293.0,8969414.0,0.036000000000000004,0.342,0.43799999999999994,0.14400000000000002,0.040999999999999995,0.0,0.314,0.6859999999999999,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,US
0,2025,0.000148,0.314,0.951,0.000728,0.425,-3.387,0.148,104.044,0.23,4,0,12.503034286514957,Group,Slowing,63457.0,164702230.0,1101026.0,1334935.0,0.824779,27.0,1047848.0,0.034,0.336,0.46399999999999997,0.139,0.026000000000000002,0.0,0.19,0.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,US
0,2025,1.32e-05,0.425,0.988,0.239,0.41,-2.923,0.142,140.004,0.0686,4,0,11.71041562817739,Group,Steady,14274.0,9935865.0,283642.0,529030.0,0.536155,16.0,108810.0,0.02,0.24,0.483,0.198,0.059000000000000004,,0.158,0.8420000000000001,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
0,2025,7.51e-06,0.504,0.977,0.00228,0.214,-2.865,0.17,117.535,0.262,6,1,12.005352231263213,Group,Steady,14274.0,9935865.0,283642.0,529030.0,0.536155,16.0,108810.0,0.02,0.24,0.483,0.198,0.059000000000000004,,0.158,0.8420000000000001,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other
